#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A4GALT	B4GALT5	9606.ENSP00000384794	9606.ENSP00000360776	0	0	0	0	0.056	0	0	0.657	0.663
A4GALT	GCNT2	9606.ENSP00000384794	9606.ENSP00000419411	0	0	0	0	0	0	0	0.410	0.410
A4GALT	B3GALT4	9606.ENSP00000384794	9606.ENSP00000390784	0	0	0	0	0.077	0	0	0.866	0.871
ABCC5	TYMS	9606.ENSP00000333926	9606.ENSP00000315644	0.054	0	0	0	0	0	0	0.423	0.431
ABCC5	SLC2A1	9606.ENSP00000333926	9606.ENSP00000416293	0	0	0	0	0.057	0.066	0	0.584	0.602
ABHD17A	ZDHHC8	9606.ENSP00000250974	9606.ENSP00000384716	0	0	0	0	0.128	0	0	0.404	0.458
ACACA	TRIB2	9606.ENSP00000483300	9606.ENSP00000155926	0	0	0	0	0	0.356	0	0.154	0.432
ACACA	CCL2	9606.ENSP00000483300	9606.ENSP00000225831	0	0	0	0	0	0	0	0.557	0.557
ACACA	IGFBP2	9606.ENSP00000483300	9606.ENSP00000233809	0	0	0	0	0	0	0	0.409	0.408
ACACA	MSMO1	9606.ENSP00000483300	9606.ENSP00000261507	0	0	0	0	0.152	0	0	0.378	0.450
ACACA	GPAT3	9606.ENSP00000483300	9606.ENSP00000264409	0	0	0	0	0	0	0	0.403	0.403
ACACA	SQLE	9606.ENSP00000483300	9606.ENSP00000265896	0	0	0	0	0.128	0	0	0.525	0.568
ACACA	TP53	9606.ENSP00000483300	9606.ENSP00000269305	0	0	0	0	0	0.198	0	0.321	0.432
ACACA	PGD	9606.ENSP00000483300	9606.ENSP00000270776	0	0	0	0	0.118	0	0	0.419	0.466
ACACA	FADS2	9606.ENSP00000483300	9606.ENSP00000278840	0.042	0	0	0	0.092	0	0	0.476	0.504
ACACA	HMGCR	9606.ENSP00000483300	9606.ENSP00000287936	0	0	0	0	0.134	0	0	0.762	0.785
ACACA	FASN	9606.ENSP00000483300	9606.ENSP00000304592	0.055	0	0	0	0.572	0.073	0.900	0.964	0.998
ACACA	FADS1	9606.ENSP00000483300	9606.ENSP00000322229	0.042	0	0	0	0.072	0	0	0.433	0.452
ACACA	HMGCS1	9606.ENSP00000483300	9606.ENSP00000322706	0	0	0	0	0.204	0	0	0.595	0.664
ACACA	ACACB	9606.ENSP00000483300	9606.ENSP00000341044	0	0	0.052	0.977	0.049	0.459	0.900	0.424	0.966
ACACA	INSIG1	9606.ENSP00000483300	9606.ENSP00000344741	0	0	0	0	0.140	0	0	0.581	0.625
ACACA	ELOVL2	9606.ENSP00000483300	9606.ENSP00000346693	0	0	0	0	0	0	0	0.451	0.451
ACACA	SREBF2	9606.ENSP00000483300	9606.ENSP00000354476	0	0	0	0	0.074	0.073	0	0.704	0.724
ACACA	SOAT1	9606.ENSP00000483300	9606.ENSP00000356591	0	0	0	0	0.044	0.115	0	0.382	0.432
ACACA	SCD	9606.ENSP00000483300	9606.ENSP00000359380	0	0	0	0	0.444	0	0	0.892	0.937
ACACA	ALDH18A1	9606.ENSP00000483300	9606.ENSP00000360268	0.070	0	0	0	0.075	0	0.767	0.456	0.876
ACACA	DHCR24	9606.ENSP00000483300	9606.ENSP00000360316	0	0	0	0	0.197	0	0	0.355	0.459
ACACA	FOXO1	9606.ENSP00000483300	9606.ENSP00000368880	0	0	0	0	0	0.047	0	0.427	0.431
ACACA	CCK	9606.ENSP00000483300	9606.ENSP00000379472	0	0	0	0	0	0	0	0.472	0.472
ACACA	CD36	9606.ENSP00000483300	9606.ENSP00000415743	0	0	0	0	0.084	0	0	0.671	0.686
ACACA	SLC2A1	9606.ENSP00000483300	9606.ENSP00000416293	0	0	0	0	0.055	0	0	0.455	0.463
ACACA	ACSS3	9606.ENSP00000483300	9606.ENSP00000449535	0.055	0	0	0	0.113	0.069	0	0.338	0.415
